Time stamp,Power,avg_temp
1677365290.5674722, 9.897, 66.25
1677365290.767763, 9.897, 66.75
1677365290.9680657, 9.611, 66.25
1677365291.168489, 9.611, 66.75
1677365291.3690166, 9.611, 66.5
1677365291.5695357, 9.611, 66.75
1677365291.7700276, 9.611, 67.0
1677365291.970565, 10.046, 66.25
1677365292.171207, 10.046, 66.5
1677365292.3717406, 10.046, 66.5
1677365292.5722651, 10.046, 67.0
1677365292.772801, 10.046, 66.5
1677365292.9733212, 9.748, 67.0
1677365293.173856, 9.748, 66.25
1677365293.374381, 9.748, 66.5
1677365293.574954, 9.748, 66.0
1677365293.7754767, 9.863, 65.0
1677365293.9759932, 9.863, 66.25
1677365294.1765146, 9.863, 65.75
1677365294.377034, 9.863, 66.5
1677365294.577558, 9.863, 66.25
1677365294.7780993, 9.676, 66.0
1677365294.9786282, 9.676, 67.0
1677365295.1792986, 9.676, 66.5
1677365295.3798494, 9.676, 66.5
1677365295.5804021, 9.676, 66.25
1677365295.7809694, 9.676, 65.5
1677365295.981501, 10.134, 66.5
1677365296.1820436, 10.134, 65.5
1677365296.3825643, 10.134, 66.5
1677365296.5835884, 10.134, 66.75
1677365296.7841225, 10.134, 66.25
1677365296.984767, 9.733, 66.75
1677365297.1853106, 9.733, 66.5
1677365297.3858976, 9.733, 66.25
1677365297.5864244, 9.733, 66.75
1677365297.7869391, 9.733, 67.25
1677365297.9874911, 9.668, 66.0
1677365298.1880245, 9.668, 65.75
1677365298.3885598, 9.668, 65.5
1677365298.5890808, 9.668, 66.0
1677365298.7895885, 9.668, 66.25
1677365298.9901228, 9.783, 67.25
1677365299.190623, 9.783, 65.5
1677365299.3912642, 9.783, 66.5
1677365299.591777, 9.783, 65.75
1677365299.792304, 9.989, 66.0
1677365299.9928265, 9.989, 66.5
1677365300.1933606, 9.989, 67.25
1677365300.3939202, 9.989, 65.75
1677365300.594467, 9.989, 66.5
1677365300.7949739, 9.989, 66.0
1677365300.9955134, 9.89, 65.5
